model,accuracy,precision,recall,f1_score
Decision Tree,0.6437666666666667,0.30230607966457024,0.6036503683858004,0.4028608146616751
Random Forest,0.7062666666666667,0.3370064279155188,0.4916275954454119,0.39989103786434216
Tuned Decision Tree (GridSearchCV),0.5908666666666667,0.2810893427817146,0.6774949765572672,0.3973288814691152
Logistic Regression,0.5967,0.2736608792020687,0.6202277294038848,0.3797611113959092
